id/num/stime/etime/czry/state/ckbh/volume/weight/height/scancnt
13a2ebc940f3447ab1da71b767822394/0/2025-10-02 13:30:00/\N/""/0/"D107"/\N/\N/\N/\N/
040b33c0090042949b60f8fee383248c/7678/2025-09-29 06:00:00/2025-09-29 06:05:11/""/1/"D107"/"8112.1"/"6489.68"/"18.23"/"285"/
66e96ec043be4279ac9efd5fe58e6826/7678/2025-09-29 05:45:00/2025-09-29 05:50:11/""/1/"D107"/"8108.4"/"6486.72"/"18.23"/"284"/
b7716031ad794a3d800cc51c666c5547/7678/2025-09-29 05:30:00/2025-09-29 05:35:11/""/1/"D107"/"8113.6"/"6490.88"/"18.24"/"283"/
7d429cbf31b64254958ea9b4d3be0c97/7678/2025-09-29 05:15:00/2025-09-29 05:20:16/""/1/"D107"/"8110.4"/"6488.32"/"18.23"/"282"/
11af00a2a60d46a08898ceda78b9ae62/7678/2025-09-29 05:00:00/2025-09-29 05:05:06/""/1/"D107"/"8119.2"/"6495.36"/"18.25"/"281"/
9baa36ba2e3d498a820372c4cca8cb37/7678/2025-09-29 04:45:00/2025-09-29 04:50:16/""/1/"D107"/"8109.5"/"6487.6"/"18.23"/"280"/
136d1469ad6148cdaf8ce2665caa909c/7678/2025-09-29 04:30:00/2025-09-29 04:35:16/""/1/"D107"/"8142.1"/"6513.68"/"18.30"/"279"/
f4c462de49d240aea42aaa0291b5f825/7678/2025-09-29 04:15:00/2025-09-29 04:20:11/""/1/"D107"/"8109.1"/"6487.28"/"18.23"/"278"/
be39ccf3869c4c55adb7793835a3070b/7678/2025-09-29 04:00:00/2025-09-29 04:05:16/""/1/"D107"/"8111.7"/"6489.36"/"18.23"/"277"/
9713587ceb7343ba9480e5a7c684a6fa/7678/2025-09-29 03:45:00/2025-09-29 03:50:11/""/1/"D107"/"8107.1"/"6485.68"/"18.22"/"276"/
df7d27815c514c58a73cd4a0668d4948/7678/2025-09-29 03:30:00/2025-09-29 03:35:11/""/1/"D107"/"8106.9"/"6485.52"/"18.22"/"275"/
65ae59401b60415e8d2148cfae6fd8b6/7678/2025-09-29 03:15:00/2025-09-29 03:20:16/""/1/"D107"/"8107.4"/"6485.92"/"18.22"/"274"/
54395ccd4cf144a19d202e23bdbf7de8/7678/2025-09-29 03:00:00/2025-09-29 03:05:16/""/1/"D107"/"8111.7"/"6489.36"/"18.23"/"273"/
172bdbf9253a4520b39c5fb82931c426/7678/2025-09-29 02:45:00/2025-09-29 02:50:16/""/1/"D107"/"8107.4"/"6485.92"/"18.22"/"272"/
66418f70de594ed68a5873df76d06c0a/7678/2025-09-29 02:30:00/2025-09-29 02:35:16/""/1/"D107"/"8114.3"/"6491.44"/"18.24"/"271"/
950f98a129e34e368092121dec1ec9d3/7678/2025-09-29 02:15:00/2025-09-29 02:20:16/""/1/"D107"/"8108.5"/"6486.8"/"18.23"/"270"/
a286a044c9eb40eeaeebf0d01970e43e/7678/2025-09-29 02:00:00/2025-09-29 02:05:11/""/1/"D107"/"8140.4"/"6512.32"/"18.30"/"269"/
b7f2ce43fd774cf7a3151de5c171cff8/7678/2025-09-29 01:45:00/2025-09-29 01:50:16/""/1/"D107"/"8137.7"/"6510.16"/"18.29"/"268"/
3046d6c940134818a3e4fbd2c1c4f954/7678/2025-09-29 01:30:00/2025-09-29 01:35:16/""/1/"D107"/"8107.1"/"6485.68"/"18.22"/"267"/
8877155273e940ba89e486b9a2322323/7678/2025-09-29 01:15:00/2025-09-29 01:20:11/""/1/"D107"/"8151.8"/"6521.44"/"18.32"/"266"/
05a78dab32b747be99dc56157e88776a/7678/2025-09-29 01:00:00/2025-09-29 01:05:11/""/1/"D107"/"8107.0"/"6485.6"/"18.22"/"265"/
09d02a889e7a40609246511ab7cc3a0f/7678/2025-09-29 00:45:00/2025-09-29 00:50:11/""/1/"D107"/"8110.9"/"6488.72"/"18.23"/"264"/
e0b52ac301bd47bba4adc72862b27be8/7678/2025-09-29 00:30:00/2025-09-29 00:35:16/""/1/"D107"/"8131.7"/"6505.36"/"18.28"/"263"/
736b7f69df4f40baaddb3e0cd864e56a/7678/2025-09-29 00:15:00/2025-09-29 00:20:11/""/1/"D107"/"8119.3"/"6495.44"/"18.25"/"262"/
6ef0c5b5c70e463e8b4a5f80fa7236fe/7678/2025-09-29 00:00:00/2025-09-29 00:05:11/""/1/"D107"/"8111.5"/"6489.2"/"18.23"/"261"/
535ec0112bba49148226f8e9a0e9b7b5/7678/2025-09-28 23:45:00/2025-09-28 23:50:06/""/1/"D107"/"8140.9"/"6512.72"/"18.30"/"260"/
f44f7c2f5c564cf388057a2ba8f06f83/7678/2025-09-28 23:30:00/2025-09-28 23:35:11/""/1/"D107"/"8113.8"/"6491.04"/"18.24"/"259"/
1938965cb832469fb941047720123c64/7678/2025-09-28 23:15:00/2025-09-28 23:20:11/""/1/"D107"/"8110.0"/"6488.0"/"18.23"/"258"/
c4e108b8ca364a6a8b9148fb0c6bf523/7678/2025-09-28 23:00:00/2025-09-28 23:05:01/""/1/"D107"/"8139.1"/"6511.28"/"18.30"/"257"/
5bf5d83513ae4c38a96c7fc07afd877e/7678/2025-09-28 22:45:00/2025-09-28 22:50:16/""/1/"D107"/"8107.4"/"6485.92"/"18.22"/"256"/
d043035cc74a4ccfa843dc158dedf471/7678/2025-09-28 22:30:00/2025-09-28 22:35:16/""/1/"D107"/"8127.9"/"6502.32"/"18.27"/"255"/
f25b82810f07465493cd9ea4f3daa192/7678/2025-09-28 22:15:00/2025-09-28 22:20:11/""/1/"D107"/"8110.3"/"6488.24"/"18.23"/"254"/
eda224ef752b4c4ba5cbff5b4d210884/7678/2025-09-28 22:00:00/2025-09-28 22:05:11/""/1/"D107"/"8114.6"/"6491.68"/"18.24"/"253"/
a286d8b6be1f44859e8ff2bff1a8fa57/7678/2025-09-28 21:45:00/2025-09-28 21:50:11/""/1/"D107"/"8108.6"/"6486.88"/"18.23"/"252"/
cacce981152e441cb78dc99b6202f748/7678/2025-09-28 21:30:00/2025-09-28 21:35:06/""/1/"D107"/"8113.9"/"6491.12"/"18.24"/"251"/
5a73206a87a7425b911b1e7f18e31823/7678/2025-09-28 21:15:00/2025-09-28 21:19:31/""/1/"D107"/"8107.4"/"6485.92"/"18.22"/"250"/
54c6d603fb90495f8a0f7ffdbf58bb98/7678/2025-09-28 21:00:00/2025-09-28 21:05:11/""/1/"D107"/"8108.2"/"6486.56"/"18.23"/"249"/
56c6d80b419e44b797cbad92550b4ff1/7678/2025-09-28 20:45:00/2025-09-28 20:50:16/""/1/"D107"/"8131.9"/"6505.52"/"18.28"/"248"/
00bb3a509a2747fcae7547c65d84b733/7678/2025-09-28 20:30:00/2025-09-28 20:35:11/""/1/"D107"/"8139.1"/"6511.28"/"18.30"/"247"/
7f8e4733f9d94e19a8e23f867812345d/7678/2025-09-28 20:15:00/2025-09-28 20:19:56/""/1/"D107"/"8152.6"/"6522.08"/"18.32"/"246"/
934445f87b7a41d096d3c01874ca94e2/7678/2025-09-28 20:00:00/2025-09-28 20:05:11/""/1/"D107"/"8141.8"/"6513.44"/"18.30"/"245"/
a206b9caa0ca499889902a972b619d38/7678/2025-09-28 19:45:00/2025-09-28 19:50:11/""/1/"D107"/"8105.9"/"6484.72"/"18.22"/"244"/
27c3b7dad8ec49068e43c2983fd240e9/7678/2025-09-28 19:30:00/2025-09-28 19:35:11/""/1/"D107"/"8131.8"/"6505.44"/"18.28"/"243"/
be3d36eff59e43a5970c743454736b61/7678/2025-09-28 19:15:00/2025-09-28 19:20:11/""/1/"D107"/"8107.2"/"6485.76"/"18.22"/"242"/
aab48ff78809453ab2bf047393161a47/7678/2025-09-28 19:00:00/2025-09-28 19:05:11/""/1/"D107"/"8116.2"/"6492.96"/"18.24"/"241"/
352720c598b64e33aed8697e6bcadcee/7678/2025-09-28 18:45:00/2025-09-28 18:50:11/""/1/"D107"/"8120.3"/"6496.24"/"18.25"/"240"/
4415475feaef4490bf7bdff5804c747c/7678/2025-09-28 18:30:00/2025-09-28 18:35:16/""/1/"D107"/"8105.0"/"6484.0"/"18.22"/"239"/
3c36cc234f834fd8b348120dcb2b921b/7678/2025-09-28 18:15:00/2025-09-28 18:20:11/""/1/"D107"/"8107.6"/"6486.08"/"18.22"/"238"/
8646bb7cdf2647faa43ff2f22a3392a9/7678/2025-09-28 18:00:00/2025-09-28 18:05:11/""/1/"D107"/"8103.1"/"6482.48"/"18.21"/"237"/
ec3f985b4c1140f0bb80dec24d1c77ab/7678/2025-09-28 17:45:00/2025-09-28 17:50:11/""/1/"D107"/"8141.1"/"6512.88"/"18.30"/"236"/
138d931ca9614b4aac6fb8ed988fc4da/7678/2025-09-28 17:30:00/2025-09-28 17:35:11/""/1/"D107"/"8104.3"/"6483.44"/"18.22"/"235"/
f477768da06247dc9023de78a493b051/7678/2025-09-28 17:15:00/2025-09-28 17:20:16/""/1/"D107"/"8098.8"/"6479.04"/"18.20"/"234"/
2138f4698c72437db8734505310db897/7678/2025-09-28 17:00:00/2025-09-28 17:05:11/""/1/"D107"/"8105.9"/"6484.72"/"18.22"/"233"/
e32d4195128d4606a327d44a7d8823a1/7678/2025-09-28 16:45:00/2025-09-28 16:50:11/""/1/"D107"/"8102.4"/"6481.92"/"18.21"/"232"/
4c6c9a17870448e3b185b1a28547ed7c/7678/2025-09-28 16:30:00/2025-09-28 16:35:11/""/1/"D107"/"8110.0"/"6488.0"/"18.23"/"231"/
7bb93b658f014875bae53d521af839a3/7678/2025-09-28 16:15:00/2025-09-28 16:20:16/""/1/"D107"/"8102.4"/"6481.92"/"18.21"/"230"/
0da6f9ba2280470a91272d52f3b5d4b9/7678/2025-09-28 16:00:00/2025-09-28 16:05:11/""/1/"D107"/"8102.3"/"6481.84"/"18.21"/"229"/
85076b3ee7ee4ce599ea5f51a5aa3756/7678/2025-09-28 15:45:00/2025-09-28 15:50:11/""/1/"D107"/"8099.2"/"6479.36"/"18.21"/"228"/
f6e965d5ca6d4c6b8758591b1828b46d/7678/2025-09-28 15:30:00/2025-09-28 15:35:11/""/1/"D107"/"8099.2"/"6479.36"/"18.21"/"227"/
a1ac83bf7e234eecb96eaa9696b6e03e/7678/2025-09-28 15:15:00/2025-09-28 15:20:11/""/1/"D107"/"8102.8"/"6482.24"/"18.21"/"226"/
78f980ff8b6a42dfb44c4891b21d92ee/7678/2025-09-28 15:00:00/2025-09-28 15:05:11/""/1/"D107"/"8100.8"/"6480.64"/"18.21"/"225"/
43f59a4778734cbdbd4d4cacd2630b0a/7678/2025-09-28 14:45:00/2025-09-28 14:50:11/""/1/"D107"/"8102.0"/"6481.6"/"18.21"/"224"/
7dc8c96f378e41289fa1112c1b32bc14/7678/2025-09-28 14:30:00/2025-09-28 14:35:16/""/1/"D107"/"8107.0"/"6485.6"/"18.22"/"223"/
53be67dcd0664550875f10e3bb2d483f/7678/2025-09-28 14:15:00/2025-09-28 14:20:11/""/1/"D107"/"8102.0"/"6481.6"/"18.21"/"222"/
893dfc2d6afd450d8ced1b285b593f97/7678/2025-09-28 14:00:00/2025-09-28 14:05:11/""/1/"D107"/"8101.2"/"6480.96"/"18.21"/"221"/
94fc3294eb25492daa7050f4f6bd53ea/7678/2025-09-28 13:45:00/2025-09-28 13:48:31/""/1/"D107"/"8093.3"/"6474.64"/"18.19"/"220"/
96364f4721ce431f8f63a8eae556e426/7678/2025-09-28 13:30:00/2025-09-28 13:34:53/""/1/"D107"/"8095.5"/"6476.4"/"18.20"/"219"/
ec419d146570484c8d90e83d7d12dc8f/7678/2025-09-28 13:15:00/2025-09-28 13:19:53/""/1/"D107"/"8100.9"/"6480.72"/"18.21"/"218"/
fc039502864340beb3c75464721ce1f9/7678/2025-09-28 13:00:00/2025-09-28 13:03:56/""/1/"D107"/"8086.6"/"6469.28"/"18.18"/"217"/
339dab9b47e340fdb8a0fb7661568bb4/7678/2025-09-28 12:45:00/2025-09-28 12:49:48/""/1/"D107"/"8099.0"/"6479.2"/"18.21"/"216"/
65f34d1bdf8242448a87e0771dadc83d/7678/2025-09-28 12:30:00/2025-09-28 12:34:51/""/1/"D107"/"8100.6"/"6480.48"/"18.21"/"215"/
edc192ebe0a8486cacef0112aa6c69a5/7678/2025-09-28 12:15:00/2025-09-28 12:19:51/""/1/"D107"/"8099.9"/"6479.92"/"18.21"/"214"/
25cd36708f4a443295b81114e9dfb3d4/7678/2025-09-28 12:00:00/2025-09-28 12:04:46/""/1/"D107"/"8099.2"/"6479.36"/"18.21"/"213"/
decb6d475df442f5ad8fe6faf87df5e6/7678/2025-09-28 11:45:00/2025-09-28 11:50:06/""/1/"D107"/"8100.2"/"6480.16"/"18.21"/"212"/
c5aa655fe9c94226b04cbf1491e72ccf/7678/2025-09-28 11:30:00/2025-09-28 11:35:11/""/1/"D107"/"8103.6"/"6482.88"/"18.21"/"211"/
46b10a62871f406dae453d1f67dbee5c/7678/2025-09-28 11:15:00/2025-09-28 11:20:11/""/1/"D107"/"8102.8"/"6482.24"/"18.21"/"210"/
f01173b73a664d44bcf77df5f2ced449/7678/2025-09-28 11:00:00/2025-09-28 11:05:11/""/1/"D107"/"8102.1"/"6481.68"/"18.21"/"209"/
1f7197bac5504e2e9c07c55699679a55/7678/2025-09-28 10:45:00/2025-09-28 10:50:11/""/1/"D107"/"8104.6"/"6483.68"/"18.22"/"208"/
d1c6582764fd41b6ae0bccf526bac934/7678/2025-09-28 10:30:00/2025-09-28 10:35:11/""/1/"D107"/"8101.3"/"6481.04"/"18.21"/"207"/
f621e40f56984a24a312b2a73d1e6635/7678/2025-09-28 10:15:00/2025-09-28 10:20:11/""/1/"D107"/"8104.1"/"6483.28"/"18.22"/"206"/
afd4fb1c459340e396eeddace4a2016a/7678/2025-09-28 10:00:00/2025-09-28 10:05:11/""/1/"D107"/"8102.9"/"6482.32"/"18.21"/"205"/
db427e6c43ac49f6a8327b6106de2216/7678/2025-09-28 09:45:00/2025-09-28 09:50:16/""/1/"D107"/"8124.7"/"6499.76"/"18.26"/"204"/
f4989b53f2494aec8ec325223dbde24e/7678/2025-09-28 09:30:00/2025-09-28 09:35:11/""/1/"D107"/"8112.1"/"6489.68"/"18.23"/"203"/
c21d279e922c42faa4edc638b60e15d8/7678/2025-09-28 09:15:00/2025-09-28 09:20:11/""/1/"D107"/"8108.7"/"6486.96"/"18.23"/"202"/
6c28e8b44ce2481aaf7eb27e963dd4d9/7678/2025-09-28 09:00:00/2025-09-28 09:05:16/""/1/"D107"/"8103.8"/"6483.04"/"18.22"/"201"/
74346c2f85dc45ae8558681e559c9874/7678/2025-09-28 08:45:00/2025-09-28 08:50:06/""/1/"D107"/"8109.5"/"6487.6"/"18.23"/"200"/
4af8ded613ca4f66949b98a852e68a8c/7678/2025-09-28 08:30:00/2025-09-28 08:35:11/""/1/"D107"/"8105.4"/"6484.32"/"18.22"/"199"/
25fa2d44a0f744d4a7714175d5be732d/7678/2025-09-28 08:15:00/2025-09-28 08:20:11/""/1/"D107"/"8130.3"/"6504.24"/"18.28"/"198"/
7fe28108fb464810a210cfc12e55e6a8/7678/2025-09-28 08:00:00/2025-09-28 08:05:11/""/1/"D107"/"8109.3"/"6487.44"/"18.23"/"197"/
48c6f89aea7e48949893bf192ecab728/7678/2025-09-28 07:45:00/2025-09-28 07:50:11/""/1/"D107"/"8123.1"/"6498.48"/"18.26"/"196"/
5a3e8fe3a78147189d5cb0b93e3d516e/7678/2025-09-28 07:30:00/2025-09-28 07:35:11/""/1/"D107"/"8125.7"/"6500.56"/"18.27"/"195"/
2051248a338646ac91515da73fe2fd73/7678/2025-09-28 07:15:00/2025-09-28 07:20:06/""/1/"D107"/"8113.5"/"6490.8"/"18.24"/"194"/
33fb5e110f6248bf86d71cb0c9bb0f3e/7678/2025-09-28 07:00:00/2025-09-28 07:05:16/""/1/"D107"/"8156.8"/"6525.44"/"18.34"/"193"/
9ab5ec9007054f86b1c1c035b6fa1caf/7678/2025-09-28 06:45:00/2025-09-28 06:50:11/""/1/"D107"/"8116.8"/"6493.44"/"18.25"/"192"/
7d1d7934b0d64111879d7823c2ed891c/7678/2025-09-28 06:30:00/2025-09-28 06:35:11/""/1/"D107"/"8139.4"/"6511.52"/"18.30"/"191"/
93195781022d4069b210f4769424350e/7678/2025-09-28 06:15:00/2025-09-28 06:20:16/""/1/"D107"/"8144.7"/"6515.76"/"18.31"/"190"/
647713346f3b4963a0ece326024c3542/7678/2025-09-28 06:00:00/2025-09-28 06:05:06/""/1/"D107"/"8150.1"/"6520.08"/"18.32"/"189"/
66622fc2b7154015b4f92fc9b6f0aa7b/7678/2025-09-28 05:45:00/2025-09-28 05:50:11/""/1/"D107"/"8127.6"/"6502.08"/"18.27"/"188"/
83c5c452c7504a8f9b1c3a5c6d5ee67c/7678/2025-09-28 05:30:00/2025-09-28 05:35:01/""/1/"D107"/"8157.6"/"6526.08"/"18.34"/"187"/
893dd8ccecda4811b84ea763c427e6ba/7678/2025-09-28 05:15:00/2025-09-28 05:20:11/""/1/"D107"/"8132.8"/"6506.24"/"18.28"/"186"/
f8354a50ec774883bcdcbaced55e87c3/7678/2025-09-28 05:00:00/2025-09-28 05:05:06/""/1/"D107"/"8158.9"/"6527.12"/"18.34"/"185"/
bff479e1267446f4aa081d86dbafabfe/7678/2025-09-28 04:45:00/2025-09-28 04:50:11/""/1/"D107"/"8136.1"/"6508.88"/"18.29"/"184"/
bfcf16a72d1c459a9793a1812de532d9/7678/2025-09-28 04:30:00/2025-09-28 04:35:11/""/1/"D107"/"8139.3"/"6511.44"/"18.30"/"183"/
d3f6a453f812436db23b53559a6b0b69/7678/2025-09-28 04:15:00/2025-09-28 04:20:06/""/1/"D107"/"8142.4"/"6513.92"/"18.30"/"182"/
cd0018e7e2c8413aa99ab75fc179e631/7678/2025-09-28 04:00:00/2025-09-28 04:05:16/""/1/"D107"/"8180.0"/"6544.0"/"18.39"/"181"/
8ea5b92c320640f0a502aaa74c576db4/7678/2025-09-28 03:45:00/2025-09-28 03:50:11/""/1/"D107"/"8156.5"/"6525.2"/"18.33"/"180"/
196a1b4d565341ea9d3bd3d5884527a1/7678/2025-09-28 03:30:00/2025-09-28 03:35:11/""/1/"D107"/"8153.4"/"6522.72"/"18.33"/"179"/
c0e50dce702a4918b772809e6cd919cb/7678/2025-09-28 03:15:00/2025-09-28 03:20:11/""/1/"D107"/"8154.2"/"6523.36"/"18.33"/"178"/
2f4ab54bc56f42069dcd029c8dd46287/7678/2025-09-28 03:00:00/2025-09-28 03:05:11/""/1/"D107"/"8153.2"/"6522.56"/"18.33"/"177"/
7b3692b769d747a8b326cc0f5f8bf9f6/7678/2025-09-28 02:45:00/2025-09-28 02:50:16/""/1/"D107"/"8153.8"/"6523.04"/"18.33"/"176"/
fd1629493ecb4fd5b72e1dc13f4e8821/7678/2025-09-28 02:30:00/2025-09-28 02:35:16/""/1/"D107"/"8164.9"/"6531.92"/"18.35"/"175"/
3a77dd02151f4942ba90e3064abc3874/7678/2025-09-28 02:15:00/2025-09-28 02:20:16/""/1/"D107"/"8155.0"/"6524.0"/"18.33"/"174"/
55cb506c9988457390c243ff885581f1/7678/2025-09-28 02:00:00/2025-09-28 02:05:11/""/1/"D107"/"8152.8"/"6522.24"/"18.33"/"173"/
ada9ee67dd434ad19fcbe35aca5a71f3/7678/2025-09-28 01:45:00/2025-09-28 01:50:06/""/1/"D107"/"8160.7"/"6528.56"/"18.34"/"172"/
220d964da66b4c6789c5acb8a58aebb8/7678/2025-09-28 01:30:00/2025-09-28 01:35:16/""/1/"D107"/"8154.3"/"6523.44"/"18.33"/"171"/
885510890620490e953bcd24a191cdf6/7678/2025-09-28 01:15:00/2025-09-28 01:20:16/""/1/"D107"/"8153.9"/"6523.12"/"18.33"/"170"/
e9564ec050434f838a1035e03c8204b6/7678/2025-09-28 01:00:00/2025-09-28 01:05:11/""/1/"D107"/"8152.3"/"6521.84"/"18.32"/"169"/
3cf1fb7529e54be6becb2c85fb1991fb/7678/2025-09-28 00:45:00/2025-09-28 00:50:11/""/1/"D107"/"8149.9"/"6519.92"/"18.32"/"168"/
29b4590fcbc1461c938cc1f9377f83c5/7678/2025-09-28 00:30:00/2025-09-28 00:35:06/""/1/"D107"/"8190.3"/"6552.24"/"18.41"/"167"/
018cecb583df48a58e4e39e474d72c79/7678/2025-09-28 00:15:00/2025-09-28 00:20:11/""/1/"D107"/"8155.4"/"6524.32"/"18.33"/"166"/
aef4325a58ad4572a432e1785f431790/7678/2025-09-28 00:00:00/2025-09-28 00:05:11/""/1/"D107"/"8159.3"/"6527.44"/"18.34"/"165"/
1d4ab18aecda48bfbaf7cb11b3a53fe0/7678/2025-09-27 23:45:00/2025-09-27 23:50:11/""/1/"D107"/"8165.2"/"6532.16"/"18.35"/"164"/
7c5441f4e3bc45cb993ded4e8b674da4/7678/2025-09-27 23:30:00/2025-09-27 23:35:11/""/1/"D107"/"8172.3"/"6537.84"/"18.37"/"163"/
a42454127829421eba29f50f0928e3b3/7678/2025-09-27 23:15:00/2025-09-27 23:20:16/""/1/"D107"/"8207.9"/"6566.32"/"18.45"/"162"/
3891df6f5b6e4b76b1f71a129086478e/7678/2025-09-27 23:00:00/2025-09-27 23:05:11/""/1/"D107"/"8187.4"/"6549.92"/"18.40"/"161"/
cff7b5fd6a8a4d1490d4c58d76c4c8f7/7678/2025-09-27 22:45:00/2025-09-27 22:50:11/""/1/"D107"/"8184.2"/"6547.36"/"18.40"/"160"/
630279d119e940f994fcc33d450f0258/7678/2025-09-27 22:30:00/2025-09-27 22:35:11/""/1/"D107"/"8214.4"/"6571.52"/"18.46"/"159"/
848c2dc9993d4c3f87958dc2339c1628/7678/2025-09-27 22:15:00/2025-09-27 22:20:11/""/1/"D107"/"8181.5"/"6545.2"/"18.39"/"158"/
ef0ca80defff40d983e85c8bcf0df302/7678/2025-09-27 22:00:00/2025-09-27 22:05:16/""/1/"D107"/"8199.1"/"6559.28"/"18.43"/"157"/
9b2f99efe7db4c4985470ad02ae514cd/7678/2025-09-27 21:45:00/2025-09-27 21:50:11/""/1/"D107"/"8214.8"/"6571.84"/"18.46"/"156"/
e9ef3fff99944cd485234f267f85012d/7678/2025-09-27 21:30:00/2025-09-27 21:35:11/""/1/"D107"/"8200.6"/"6560.48"/"18.43"/"155"/
34f627a6b4544e3886293aeba34197a0/7678/2025-09-27 21:15:00/2025-09-27 21:20:11/""/1/"D107"/"8200.3"/"6560.24"/"18.43"/"154"/
c713cd6e4c6c4635b990461550f1bba0/7678/2025-09-27 21:00:00/2025-09-27 21:05:11/""/1/"D107"/"8229.9"/"6583.92"/"18.50"/"153"/
bc0f106ce0ce4ffea0e15f768eb6d52c/7678/2025-09-27 20:45:00/2025-09-27 20:50:11/""/1/"D107"/"8198.0"/"6558.4"/"18.43"/"152"/
2bb056d7ad5942a5923051e7112d7e4a/7678/2025-09-27 20:30:00/2025-09-27 20:35:11/""/1/"D107"/"8201.4"/"6561.12"/"18.43"/"151"/
1bba616201ee412293e10fda97779fff/7678/2025-09-27 20:15:00/2025-09-27 20:20:16/""/1/"D107"/"8208.0"/"6566.4"/"18.45"/"150"/
10d9abd3a8194e8ab88f1f0b8e166d4e/7678/2025-09-27 20:00:00/2025-09-27 20:05:16/""/1/"D107"/"8203.2"/"6562.56"/"18.44"/"149"/
d38de2e62f55430d828486fea54d318c/7678/2025-09-27 19:45:00/2025-09-27 19:50:16/""/1/"D107"/"8209.9"/"6567.92"/"18.45"/"148"/
dfcf91e94df34354b3c5223b3e9aeb6c/7678/2025-09-27 19:30:00/2025-09-27 19:35:11/""/1/"D107"/"8237.2"/"6589.76"/"18.52"/"147"/
650585737353409d845bfb4b61f87871/7678/2025-09-27 19:15:00/2025-09-27 19:20:06/""/1/"D107"/"8234.9"/"6587.92"/"18.51"/"146"/
9d7196023c8c463b8a9b7031cc67423c/7678/2025-09-27 19:00:00/2025-09-27 19:05:11/""/1/"D107"/"8237.0"/"6589.6"/"18.52"/"145"/
acd22470e6944316b6abcf6f94617bb2/7678/2025-09-27 18:45:00/2025-09-27 18:50:16/""/1/"D107"/"8272.3"/"6617.84"/"18.59"/"144"/
54f531d7fb684db1a75996d5d2c514a4/7678/2025-09-27 18:30:00/2025-09-27 18:35:11/""/1/"D107"/"8253.3"/"6602.64"/"18.55"/"143"/
22beb44b7e7a4218834a97663be1fc4b/7678/2025-09-27 18:15:00/2025-09-27 18:20:11/""/1/"D107"/"8237.3"/"6589.84"/"18.52"/"142"/
8d7132e446724f8a8e8efa0eaeebc62e/7678/2025-09-27 18:00:00/2025-09-27 18:05:16/""/1/"D107"/"8267.1"/"6613.68"/"18.58"/"141"/
5f54af0272694070b6692de51db96bcf/7678/2025-09-27 17:45:00/2025-09-27 17:50:06/""/1/"D107"/"8266.8"/"6613.44"/"18.58"/"140"/
c75360a02bc74ba9be6931d04d31c99b/7678/2025-09-27 17:30:00/2025-09-27 17:35:16/""/1/"D107"/"8270.6"/"6616.48"/"18.59"/"139"/
1fa0f62aa994486982616ec6dc48884b/7678/2025-09-27 17:15:00/2025-09-27 17:20:11/""/1/"D107"/"8269.4"/"6615.52"/"18.59"/"138"/
4e95e629847c4bbaa8bddd24021964f2/7678/2025-09-27 17:00:00/2025-09-27 17:05:16/""/1/"D107"/"8265.5"/"6612.4"/"18.58"/"137"/
e6ffc42259f243879d703832fa96a642/7678/2025-09-27 16:45:00/2025-09-27 16:50:16/""/1/"D107"/"8283.3"/"6626.64"/"18.62"/"136"/
a51664044ae94309ba44fbba3e8a7cd0/7678/2025-09-27 16:30:00/2025-09-27 16:35:16/""/1/"D107"/"8266.8"/"6613.44"/"18.58"/"135"/
50a0e88ca56e4bddb1e941725cd203ec/7678/2025-09-27 16:15:00/2025-09-27 16:20:01/""/1/"D107"/"8266.3"/"6613.04"/"18.58"/"134"/
b98274e0525849cbbc6037bacbdc107c/7678/2025-09-27 16:00:00/2025-09-27 16:05:11/""/1/"D107"/"8271.5"/"6617.2"/"18.59"/"133"/
6a6bb12d1751483395982a80ff00d3bc/7678/2025-09-27 15:45:00/2025-09-27 15:50:11/""/1/"D107"/"8272.8"/"6618.24"/"18.59"/"132"/
c96769ee108444579c88643b0573d627/7678/2025-09-27 15:30:00/2025-09-27 15:35:16/""/1/"D107"/"8273.1"/"6618.48"/"18.60"/"131"/
a936bc9b24114aa8964488fb7303f51a/7678/2025-09-27 15:15:00/2025-09-27 15:20:11/""/1/"D107"/"8295.0"/"6636.0"/"18.65"/"130"/
1ab7ca5ca5234211b2c371e7ebe2029b/7678/2025-09-27 15:00:00/2025-09-27 15:04:31/""/1/"D107"/"8333.5"/"6666.8"/"18.73"/"129"/
991c2fb853774d79bd3aa6212b7ced1c/7678/2025-09-27 14:45:00/2025-09-27 14:48:41/""/1/"D107"/"8292.3"/"6633.84"/"18.64"/"128"/
ddfa34701f504185add2328264153bd5/7678/2025-09-27 14:30:00/2025-09-27 14:35:11/""/1/"D107"/"8304.2"/"6643.36"/"18.67"/"127"/
8c67de565dff4c618aaea404256d662b/7678/2025-09-27 14:15:00/2025-09-27 14:20:11/""/1/"D107"/"8313.0"/"6650.4"/"18.69"/"126"/
5dc7aa416bec4463bb0ef70dfb312076/7678/2025-09-27 14:00:00/2025-09-27 14:05:06/""/1/"D107"/"8307.2"/"6645.76"/"18.67"/"125"/
1caffce0cbdf47f988086cc793a9d968/7678/2025-09-27 13:45:00/2025-09-27 13:50:06/""/1/"D107"/"8311.1"/"6648.88"/"18.68"/"124"/
685de251483a4c91a4f379db9742e28a/7678/2025-09-27 13:30:00/2025-09-27 13:35:11/""/1/"D107"/"8308.1"/"6646.48"/"18.68"/"123"/
