id/num/stime/etime/czry/state/ckbh/volume/weight/height/scancnt
13a2ebc940f3447ab1da71b767822394/0/2025-10-02 13:30:00/\N/""/0/"D107"/\N/\N/\N/\N/
bae68731063e4f0196e47e36f8cd01a4/7678/2025-10-02 01:45:00/2025-10-02 01:50:11/""/1/"D107"/"7272.9"/"5818.32"/"16.35"/"554"/
de8a085afbe9448ebdc280041f8856c9/7678/2025-10-02 01:30:00/2025-10-02 01:35:06/""/1/"D107"/"7239.4"/"5791.52"/"16.27"/"553"/
54c4e663e7844a14a3073d89e0aa4cee/7678/2025-10-02 01:15:00/2025-10-02 01:20:11/""/1/"D107"/"7244.5"/"5795.6"/"16.28"/"552"/
cb90b86254074698ad0286aea0f49ca6/7678/2025-10-02 01:00:00/2025-10-02 01:05:06/""/1/"D107"/"7293.0"/"5834.4"/"16.39"/"551"/
89bccd4f171743fc8e2706e47562061e/7678/2025-10-02 00:45:00/2025-10-02 00:50:06/""/1/"D107"/"7281.1"/"5824.88"/"16.37"/"550"/
ddfdb00059d7430c9a59c7a6955a44bb/7678/2025-10-02 00:30:00/2025-10-02 00:35:06/""/1/"D107"/"7258.6"/"5806.88"/"16.32"/"549"/
3de4af46f39445da916823bb77950296/7678/2025-10-02 00:15:00/2025-10-02 00:20:06/""/1/"D107"/"7260.1"/"5808.08"/"16.32"/"548"/
c13fa99a4c5d41b5a77c1be31e9aebdd/7678/2025-10-02 00:00:00/2025-10-02 00:05:06/""/1/"D107"/"7262.2"/"5809.76"/"16.32"/"547"/
13a73437afc1420ea0b34b925c5faf9f/7678/2025-10-01 23:45:00/2025-10-01 23:50:06/""/1/"D107"/"7261.3"/"5809.04"/"16.32"/"546"/
996a51f093d8495a922aa17210c7ac22/7678/2025-10-01 23:30:00/2025-10-01 23:34:56/""/1/"D107"/"7280.3"/"5824.24"/"16.37"/"545"/
d3303a3608174c08af00d166a210fe4b/7678/2025-10-01 23:15:00/2025-10-01 23:20:11/""/1/"D107"/"7303.6"/"5842.88"/"16.42"/"544"/
eb9dc6a8e12e45f3a0b8fe3adef2b6aa/7678/2025-10-01 23:00:00/2025-10-01 23:05:11/""/1/"D107"/"7278.3"/"5822.64"/"16.36"/"543"/
39885f2985ff447a9df0caa4c41a4571/7678/2025-10-01 22:45:00/2025-10-01 22:50:01/""/1/"D107"/"7317.1"/"5853.68"/"16.45"/"542"/
078540c050a84a5983732d45c2d8071d/7678/2025-10-01 22:30:00/2025-10-01 22:35:06/""/1/"D107"/"7285.3"/"5828.24"/"16.38"/"541"/
c9f70a0bc07d4d08bb94293242e71176/7678/2025-10-01 22:15:00/2025-10-01 22:20:11/""/1/"D107"/"7290.7"/"5832.56"/"16.39"/"540"/
b5bfe031a3e44cfa9092f693ebe8aa61/7678/2025-10-01 22:00:00/2025-10-01 22:05:06/""/1/"D107"/"7334.6"/"5867.68"/"16.49"/"539"/
d783a072418c4348acc9c2c71f2d7efd/7678/2025-10-01 21:45:00/2025-10-01 21:50:11/""/1/"D107"/"7304.1"/"5843.28"/"16.42"/"538"/
b847476503bc439c9f559de5e59287a3/7678/2025-10-01 21:30:00/2025-10-01 21:35:11/""/1/"D107"/"7305.5"/"5844.4"/"16.42"/"537"/
4c0bfba55b1b4a66a4cec3a560738ebc/7678/2025-10-01 21:15:00/2025-10-01 21:20:06/""/1/"D107"/"7304.0"/"5843.2"/"16.42"/"536"/
1e0972c38d1d43e7abb9beb35dc69856/7678/2025-10-01 21:00:00/2025-10-01 21:05:11/""/1/"D107"/"7295.8"/"5836.64"/"16.40"/"535"/
1c5e255a15074b0b8171635395de3022/7678/2025-10-01 20:45:00/2025-10-01 20:50:11/""/1/"D107"/"7326.2"/"5860.96"/"16.47"/"534"/
53bc3d5c16b140f29325c4e797f90218/7678/2025-10-01 20:30:00/2025-10-01 20:35:06/""/1/"D107"/"7307.2"/"5845.76"/"16.43"/"533"/
ad57916a3e53425bb80c19c1c291476b/7678/2025-10-01 20:15:00/2025-10-01 20:20:11/""/1/"D107"/"7300.8"/"5840.64"/"16.41"/"532"/
89a95cf3a317423b9efa59adc78c67a1/7678/2025-10-01 20:00:00/2025-10-01 20:05:06/""/1/"D107"/"7313.7"/"5850.96"/"16.44"/"531"/
6dcbd5867bf04b5caa1069d6a94fb5f9/7678/2025-10-01 19:45:00/2025-10-01 19:50:06/""/1/"D107"/"7307.8"/"5846.24"/"16.43"/"530"/
f7114478edb34a01a6f7876a3acc2b8e/7678/2025-10-01 19:30:00/2025-10-01 19:35:11/""/1/"D107"/"7310.5"/"5848.4"/"16.43"/"529"/
